BUDGET,POPULARITY,REVENUE,VOTE_AVERAGE,VOTE_COUNT,release_year,release_month
60000000,36.342,137551594,6.6,4076,2011,8
110000000,44.295,179246868,6.1,5037,2016,9
81000000,39.688,414351546,7.6,12277,2014,12
25000000,33.625,50671850,5.9,1059,1998,10
245000000,58.339,880674609,6.5,7885,2015,10
35000000,36.111,81093313,5.7,2725,2016,11
30000000,41.354,80509622,6.7,1823,2018,1
2000000,38.733,572809,6.5,1381,2010,6
12600000,44.92,28650575,6.3,1576,2003,5
40000000,45.361,211343479,7.3,5484,1989,11
20000000,43.882,88761661,7.3,13318,2014,10
85000000,47.528,288747895,6.9,9951,2014,3
73000000,39.471,349779543,6.2,2513,2016,11
14000000,44.257,82468705,8.1,4867,2019,10
100000000,44.97,142337240,6.3,3322,2017,3
42000000,37.968,68467960,6.1,1240,2001,10
150000000,39.064,738599701,6.9,7215,2003,5
7000000,48.212,130234661,7.2,2910,2020,2
58000000,30.383,158162788,6.3,2751,2015,5
6000000,46.074,245066411,8.7,13093,1972,3
15000000,40.298,19629760,8.0,4110,1982,6
4000000,45.246,2363584,6.2,198,2019,11
9000000,29.498,4612788,7.2,302,2019,11
4000000,33.838,36690067,5.8,757,1982,8
159000000,38.537,8000000,7.7,4040,2019,1
135000000,45.092,368871007,6.8,2902,2015,3
20000000,34.502,3364426,7.3,112,2020,1
150000000,46.916,585410052,7.2,11271,2007,12
24000000,48.264,236049757,8.4,5670,2004,11
13000000,41.066,5774854,7.5,2728,2011,8
31000000,40.317,300473716,7.0,2755,1985,11
79000000,33.194,355692760,6.1,2859,2012,1
5000000,39.846,22525668,6.8,135,2018,3
25000000,44.27,28341469,8.7,17301,1994,9
55000000,46.52,677387716,8.5,19013,1994,6
175000000,41.579,332207671,6.8,3947,2015,11
30000000,45.035,176586701,6.8,4010,2017,8
47000000,37.698,203388186,7.5,12855,2016,10
55000000,49.03,192330738,7.2,6136,2014,9
100000000,45.981,244819862,5.7,3048,2014,7
2600000,39.011,32980880,6.0,704,1984,4
80000000,43.798,247022278,6.0,2756,2013,11
70000000,36.16,481840909,8.1,10839,1998,7
90000000,50.503,497366869,7.5,9777,1999,10
160000000,51.088,798958165,6.2,6188,2007,5
50000000,35.03,97607453,6.5,2822,2006,4
9500000,39.227,107071655,6.2,1606,2003,5
60000000,43.688,113231078,5.7,3687,2017,3
44000000,34.848,300400432,6.5,2321,1985,5
3598902,51.252,4001919,6.7,353,2018,7
5000000,27.614,79603,6.6,78,2020,8
70000000,41.922,100546153,7.1,3620,2018,11
10000000,45.401,253688035,6.5,2952,2018,10
25000000,36.065,95438172,6.4,1534,2019,8
1000000,26.637,3469151,6.6,417,2018,12
19500000,39.381,194989655,7.2,9139,2017,1
45000000,43.185,27530241,6.7,268,2019,1
130000000,46.905,403170142,6.4,8786,2012,5
49000000,40.464,104399548,6.8,5944,2015,4
19000000,39.343,278019771,6.2,4446,2000,7
3300000,45.912,13092000,8.4,10226,2014,10
185000000,39.137,538983207,7.0,10064,2012,6
170000000,37.34,299457024,6.5,4796,2016,5
66190000,33.139,2602149,5.7,219,2017,8
110000000,38.081,169801921,6.0,6117,2017,3
30000000,43.802,611899420,7.3,2639,2004,2
16000000,36.438,45284974,8.3,9982,1994,9
55000000,43.465,378827494,6.4,5794,2017,8
94000000,42.096,940335536,7.8,14096,2003,5
160000000,40.75,529076069,6.2,6228,2014,5
55000000,46.541,231449203,6.1,2889,2003,1
90000000,38.69,589390539,7.1,9984,1997,2
63000000,43.632,100853753,8.4,20217,1999,10
100000000,40.28,230884728,6.9,4395,2005,8
175000000,41.031,735099082,7.9,14867,2009,5
23600000,44.378,102391540,7.3,8767,2009,7
1500000,39.676,97009150,6.9,4553,2010,9
38000000,33.415,125289450,6.1,805,2017,1
17000000,35.464,66316289,8.2,4504,2018,2
11000000,33.146,88489643,6.9,1649,2006,7
36000000,37.808,433888866,7.5,8601,2018,3
32000000,32.538,53774397,6.9,1511,2019,12
170000000,36.232,710644566,7.3,8323,2014,6
65000000,37.411,422610419,7.1,9961,2007,7
69000000,42.124,543513985,7.2,11699,2010,8
7000000,44.475,470653000,7.6,6751,1975,6
2900000,39.867,263591415,7.0,4760,1950,2
35000000,31.98,32517248,5.7,683,2018,2
20000000,38.676,22217407,6.4,1365,2007,3
180000000,36.915,521311860,8.0,13449,2008,6
39000000,35.409,35287788,6.8,2196,2012,4
20000000,42.467,21164799,4.8,966,2016,1
5400000,35.412,4803565,4.6,466,2017,2
165000000,37.36,389681935,5.2,4584,2016,6
8000000,35.791,91077276,7.1,2423,1984,6
11000000,36.591,16951798,4.7,746,2001,7
23000000,36.138,53302314,6.5,3531,2000,3
92000000,38.52,631442092,7.7,13051,2004,5
45000000,36.223,131183530,6.7,3951,1998,8
150000000,50.116,424988211,6.6,6484,2003,3
125000,28.027,8737458,6.8,349,2017,8
19000000,42.11,2300000,7.8,4110,2019,6
15000000,34.853,69623713,6.3,1875,2006,10
19000000,24.844,50020902,7.1,2368,2019,8
21000000,36.532,112399944,5.8,2170,2019,4
45000000,30.405,376141306,6.3,4822,2012,9
20000000,39.842,72457330,6.8,1043,2019,8
37500000,28.374,111353135,7.1,671,2019,10
35000000,37.419,66308758,6.1,1446,2018,8
29000000,52.08,287506194,6.9,4294,2015,7
10000000,37.332,139352633,6.1,2380,2007,10
4000000,38.305,152925093,6.5,3399,2005,10
10200000,31.774,35728183,5.8,1268,2007,8
100000000,50.702,119559110,6.4,406,2019,3
95000000,37.473,226497209,6.2,5409,2010,1
22000000,30.22,321365567,8.6,10422,1993,11
57000000,38.874,132563930,4.9,2530,2011,11
40000000,41.569,357852395,6.4,4048,2010,10
30000000,45.531,91709827,7.4,4142,2015,3
30000000,39.769,36894225,6.3,2110,2013,9
40000000,33.795,332000000,7.7,8870,1989,11
12000000,29.404,307166834,7.6,8878,2014,5
19000000,38.443,91379051,5.8,1587,2009,11
